image_name,class,class_index,original_labels
India_000000.jpg,Normal,0,
India_000001.jpg,Normal,0,
India_000002.jpg,Normal,0,
India_000003.jpg,Normal,0,
India_000005.jpg,Pothole,2,D40
India_000007.jpg,Normal,0,
India_000010.jpg,Normal,0,D44
India_000011.jpg,Crack,1,D00
India_000012.jpg,Normal,0,
India_000014.jpg,Crack,1,"D20, D20, D44"
India_000016.jpg,Normal,0,
India_000017.jpg,Pothole,2,"D44, D40, D40, D40, D40"
India_000018.jpg,Normal,0,
India_000019.jpg,Normal,0,
India_000022.jpg,Normal,0,
India_000023.jpg,Normal,0,
India_000024.jpg,Crack,1,D20
India_000026.jpg,Normal,0,
India_000027.jpg,Both,3,"D40, D40, D40, D40, D20, D40"
India_000028.jpg,Crack,1,D20
India_000032.jpg,Normal,0,"D44, D44"
India_000035.jpg,Normal,0,
India_000036.jpg,Normal,0,
India_000037.jpg,Normal,0,
India_000038.jpg,Crack,1,"D01, D00"
India_000039.jpg,Normal,0,
India_000040.jpg,Normal,0,
India_000041.jpg,Normal,0,
India_000042.jpg,Normal,0,
India_000043.jpg,Both,3,"D40, D40, D40, D40, D40, D20, D40"
India_000046.jpg,Normal,0,
India_000047.jpg,Normal,0,
India_000049.jpg,Normal,0,
India_000052.jpg,Both,3,"D20, D00, D00, D40, D40, D40, D40, D40, D40"
India_000053.jpg,Crack,1,"D20, D00, D00"
India_000054.jpg,Both,3,"D40, D00"
India_000055.jpg,Both,3,"D01, D11, D40"
India_000057.jpg,Both,3,"D40, D00, D00, D00, D40"
India_000059.jpg,Normal,0,
India_000061.jpg,Pothole,2,"D40, D40"
India_000064.jpg,Normal,0,
India_000066.jpg,Normal,0,
India_000067.jpg,Both,3,"D20, D40"
India_000069.jpg,Normal,0,
India_000071.jpg,Pothole,2,"D40, D40"
India_000072.jpg,Normal,0,
India_000073.jpg,Normal,0,
India_000074.jpg,Normal,0,
India_000075.jpg,Normal,0,
India_000076.jpg,Normal,0,D44
India_000078.jpg,Crack,1,"D00, D11, D11, D11"
India_000079.jpg,Normal,0,
India_000080.jpg,Normal,0,
India_000081.jpg,Pothole,2,D40
India_000083.jpg,Normal,0,
India_000085.jpg,Normal,0,
India_000086.jpg,Crack,1,"D00, D00"
India_000088.jpg,Normal,0,D44
India_000089.jpg,Normal,0,
India_000090.jpg,Crack,1,D00
India_000092.jpg,Crack,1,"D44, D00, D00, D00"
India_000093.jpg,Normal,0,D44
India_000095.jpg,Normal,0,
India_000096.jpg,Normal,0,
India_000099.jpg,Crack,1,"D44, D20"
India_000101.jpg,Normal,0,
India_000102.jpg,Crack,1,"D00, D00"
India_000103.jpg,Pothole,2,D40
India_000104.jpg,Crack,1,D00
